,area_code,mean_dp_score,mean_covid_rate,count_of_supermarkets,numb_sport_facilities,cluster,component_1,component_2
0,E02000001,0.9648333333333333,310.34961240310076,32,96,1,14.055175468509821,8.07107100777963
1,E02000002,0.94525,317.6878048780488,1,2,0,-1.1173438715573034,-0.2677928545421887
2,E02000003,0.9488333333333333,279.75531914893617,2,16,0,0.4435064276754686,0.18358001070797808
3,E02000004,0.9365,362.83684210526314,1,15,4,-0.9336205724556788,0.12609440429037286
4,E02000005,0.9562499999999999,311.4927419354839,3,5,0,-0.35527828092499036,0.6003845569475049
5,E02000007,0.946,285.28809523809525,2,28,2,1.045833120370233,0.49128179452265797
6,E02000008,0.947,299.3985507246377,1,13,0,-0.298601484508801,0.025595261315478197
7,E02000009,0.9523999999999999,306.26000000000005,1,3,0,-1.002136937228683,0.019853540314404595
8,E02000010,0.9551999999999999,316.731746031746,0,1,0,-1.6261474900205781,0.04457310865307322
9,E02000011,0.95075,336.5666666666667,1,22,2,-0.3878619054345153,0.8356459795365784
10,E02000012,0.9672000000000001,316.4194029850746,2,16,0,-0.3189995639717916,1.4133617607071538
11,E02000013,0.9523999999999999,332.63305785123964,2,4,4,-0.9839254068628162,0.42221181571806576
12,E02000014,0.9531666666666666,300.87573529411765,3,7,0,-0.05820164117201608,0.42159298883783664
13,E02000015,0.9552499999999999,323.4349593495935,0,3,0,-1.6135649644680359,0.1721986573497754
14,E02000016,0.9723333333333333,279.4859504132232,4,9,0,0.4181127234704899,1.3894875757871257
15,E02000017,0.9652,280.81496062992125,0,7,0,-0.9411255909909823,0.42609481487607925
16,E02000018,0.9574,304.55,2,4,0,-0.660338048540995,0.4246390228951425
17,E02000019,0.9629999999999999,321.97520000000003,4,7,0,-0.15412007882377368,1.2316113150377168
18,E02000020,0.95175,305.5937007874016,2,3,0,-0.6511293472758238,0.1206140740414932
19,E02000021,0.9625999999999999,300.3336,0,7,0,-1.1779835460139554,0.4677521062136382
20,E02000022,0.971,309.82523364485985,1,5,0,-1.1991476110076837,1.0388075232450418
21,E02000023,0.96375,330.5846846846847,1,14,4,-0.9091801622599759,1.1607871649921855
22,E02000024,0.9513333333333334,297.39307692307693,4,28,2,1.4697264609750558,1.138663429091864
