"date","area_type","area_code","area_name","metric","metric_name","value"
"01/08/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"02/05/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"03/10/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"04/04/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"04/07/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/09/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/12/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","100.8"
"06/06/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"07/11/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"08/08/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"09/05/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"10/10/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","201.6"
"11/04/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"11/07/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/09/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/12/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","184.8"
"13/06/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/11/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","252"
"15/08/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"16/05/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"17/10/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","168"
"18/04/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"18/07/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/09/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/12/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","117.6"
"20/06/2020","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"2020-06-06","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"2020-06-13","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-20","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-27","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-04","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-11","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-18","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-25","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-01","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-08","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-15","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-22","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-29","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-05","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-12","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-19","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-26","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"2020-10-03","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"2020-10-10","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","201.6"
"2020-10-17","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","168"
"2020-10-24","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","151.2"
"2020-10-31","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","252"
"2020-11-07","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"2020-11-14","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","252"
"2020-11-21","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","201.6"
"2020-11-28","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"2020-12-05","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","100.8"
"2020-12-12","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","184.8"
"2020-12-19","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","117.6"
"2020-12-26","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","201.6"
"2021-01-02","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","503.9"
"2021-01-09","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","638.3"
"2021-01-16","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","319.2"
"2021-01-23","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","453.6"
"2021-01-30","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","336"
"2021-02-06","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"2021-02-13","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","168"
"2021-02-20","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","134.4"
"2021-02-27","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","100.8"
"2021-03-06","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","117.6"
"2021-03-13","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","84"
"2021-03-20","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"2021-03-27","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"2021-04-03","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-04-10","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-04-17","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"2021-04-24","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-01","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-08","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-15","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-22","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-05-29","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-06-05","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-06-12","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2021-06-19","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","50.4"
"2021-06-26","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","168"
"2021-07-03","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","319.2"
"2021-07-10","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","487.1"
"2021-07-17","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","537.5"
"2021-07-24","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","470.4"
"2021-07-31","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"2021-08-07","msoa","E02005830","Jacksdale-&-Underwood","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
