"date","area_type","area_code","area_name","metric","metric_name","value"
"01/08/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","38.5"
"02/05/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","44.9"
"03/10/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","263.1"
"04/04/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","64.2"
"04/07/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/09/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","64.2"
"05/12/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","141.2"
"06/06/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","44.9"
"07/03/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"07/11/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","410.8"
"08/08/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"09/05/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","57.8"
"10/10/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","378.7"
"11/04/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","25.7"
"11/07/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","57.8"
"12/09/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","141.2"
"12/12/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","231.1"
"13/06/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","115.5"
"14/03/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/11/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","526.3"
"15/08/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","57.8"
"16/05/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","70.6"
"17/10/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","532.7"
"18/04/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","32.1"
"18/07/2020","msoa","E02006911","Oadby-North-&-East","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","32.1"
