"date","area_type","area_code","area_name","metric","metric_name","value"
"01/08/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"02/05/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"03/10/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"04/04/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"04/07/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/09/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/12/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"06/06/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"07/11/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"08/08/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"09/05/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"10/10/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","92.4"
"11/04/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"11/07/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","46.2"
"12/09/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/12/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","61.6"
"13/06/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/11/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","308.1"
"15/08/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"16/05/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"17/10/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","61.6"
"18/04/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","123.2"
"18/07/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/09/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/12/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","169.4"
"20/06/2020","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"2020-06-06","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-13","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-20","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-27","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-04","msoa","E02004414","Uckfield-South","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
