"date","area_type","area_code","area_name","metric","metric_name","value"
"01/08/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"02/05/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"03/10/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","167"
"04/04/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","108.9"
"04/07/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/09/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/12/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","377.5"
"06/06/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"07/03/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"07/11/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","210.5"
"08/08/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"09/05/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","29"
"10/10/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","108.9"
"11/04/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","94.4"
"11/07/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/09/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","72.6"
"12/12/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","508.2"
"13/06/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/03/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/11/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","450.1"
"15/08/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"16/05/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","21.8"
"17/10/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.6"
"18/04/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","29"
"18/07/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/09/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","108.9"
"19/12/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1451.9"
"20/06/2020","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
